"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE","SD_WUE","SE_WUE","B_WUE.wght","SD_WUE.wght","SE_WUE.wght"
1,2007,2008,0.296506597384255,2.07554618168978,0.454,3.178,3.178,0.2263,1.29890804464286,0.0468611989541037,17.2483558035714,13.2487705456921,19259.9980745206,NA,0.615344521600929,223.985405862738,10,"Fall",1.39760474463568,0.63808451575803,0.0155034956154806,0.414399027320016,0.189196268610993,0.00459688873250788
2,2007,2008,0.118410757076325,0.828875299534272,0.0145714285714286,0.102,3.28,0.2101125,1.38116305952381,0.0371899319809004,16.2052985714286,12.4080877587752,19284.0126422007,NA,0.615344521600929,223.985405862738,10,"Fall",1.48037139935969,0.596215663415223,0.0148906540160363,0.175291898152319,0.0705983480857596,0.00176321361540046
3,2007,2008,0.205284909281423,1.43699436496996,0,0,3.28,0.206817857142857,1.22383520327381,0.0327241618974537,12.7145487797619,9.59461485157997,19310.2651607045,NA,0.615344521600929,223.985405862738,10,"Fall",1.59464210909126,0.532516664951611,0.0136427067320341,0.327355960701136,0.109317635255437,0.00280064181383864
4,2007,2008,0.22125332466305,1.54877327264135,0,0,3.28,0.204258928571429,1.058154175,0.0319498568903429,10.8733468154762,8.11064374154543,18073.7670687268,NA,0.615344521600929,223.985405862738,10,"Fall",1.65042043462108,0.505028678521373,0.0135427615804548,0.36516100825175,0.11173927417304,0.0029963810247946
5,2007,2008,0.15710532199845,1.09973725398915,0,0,3.28,0.192925,1.05928155119048,0.032952611193737,11.2408767261905,8.4068653294825,16596.1500135032,NA,0.615344521600929,223.985405862738,10,"Fall",1.65412255105018,0.497695190262686,0.0133569680478115,0.259871456007636,0.078190563123299,0.00209845076607441
6,2007,2008,0.198912186058708,1.39238530241096,0,0,3.28,0.146580357142857,1.01858605863095,0.033403266124576,10.5965074107143,7.88751684577046,15009.4818591124,NA,0.615344521600929,223.985405862738,11,"Fall",1.63452609385788,0.494197577445667,0.0136986954048613,0.325127158499273,0.0983019204746353,0.0027248374491333
7,2007,2008,0.202391183152445,1.41673828206712,0,0,3.28,0.147023214285714,0.8363503375,0.0344163040563869,8.96915601190476,6.57590491587307,13870.2883840674,NA,0.615344521600929,223.985405862738,11,"Fall",1.57376058834533,0.503579176519962,0.0148340078159381,0.318515267473899,0.101919985346809,0.00300227239276033
8,2007,2008,0.121579525019494,0.85105667513646,0.571,3.997,7.277,0.132725,0.590894868154763,0.0428550940694575,4.86398955357143,3.26722474703952,12398.6617826358,NA,0.615344521600929,223.985405862738,11,"Fall",1.45575053581445,0.543039684735634,0.0154069754859422,0.176989458691195,0.0660225069368943,0.00187317276156782
9,2007,2008,0.130105205743731,0.91073644020612,1.93584285714286,13.5509,20.8279,0.12115,0.405816870833333,0.0726907473552888,4.89110622023809,3.28908022553364,9888.30640232986,NA,0.615344521600929,223.985405862738,11,"Fall",1.32566032886519,0.591089578619126,0.0169661434564907,0.172475309833309,0.0769038312392169,0.00220738358508439
10,2007,2008,0.0941093500323368,0.658765450226358,0.0774342857142857,0.54204,21.36994,0.1153875,0.584108132142857,0.0857621307607056,7.36787642857143,5.28530633578917,11432.3878307771,NA,0.615344521600929,223.985405862738,12,"Winter",1.28928032338117,0.594131089930691,0.0178696911823853,0.121333333242883,0.0559132907073812,0.00168170502245286
